LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.010899,0.004222,-0.189455,0.000244
0.010929,0.004234,-0.189977,0.000244
0.010959,0.004246,-0.190498,0.000245
0.010989,0.004257,-0.191020,0.000246
0.011020,0.004269,-0.191559,0.000246
0.011050,0.004281,-0.192080,0.000247
0.011081,0.004293,-0.192619,0.000248
0.011111,0.004304,-0.193140,0.000248
0.011142,0.004316,-0.193679,0.000249
0.011172,0.004328,-0.194201,0.000250
0.011203,0.004340,-0.194740,0.000250
0.011234,0.004352,-0.195278,0.000251
0.011265,0.004364,-0.195817,0.000252
0.011296,0.004376,-0.196356,0.000253
0.011327,0.004388,-0.196895,0.000253
0.011358,0.004400,-0.197434,0.000254
0.011389,0.004412,-0.197973,0.000255
0.011421,0.004424,-0.198529,0.000255
0.011452,0.004437,-0.199068,0.000256
0.011483,0.004449,-0.199607,0.000257
0.011515,0.004461,-0.200163,0.000257
0.011546,0.004473,-0.200702,0.000258
0.011578,0.004485,-0.201258,0.000259
0.011610,0.004498,-0.201814,0.000260
0.011642,0.004510,-0.202371,0.000260
0.011674,0.004522,-0.202927,0.000261
0.011705,0.004535,-0.203466,0.000262
0.011738,0.004547,-0.204039,0.000262
0.011770,0.004560,-0.204596,0.000263
0.011802,0.004572,-0.205152,0.000264
0.011834,0.004585,-0.205708,0.000265
0.011866,0.004597,-0.206264,0.000265
0.011899,0.004610,-0.206838,0.000266
0.011931,0.004622,-0.207394,0.000267
0.011964,0.004635,-0.207968,0.000267
0.011997,0.004647,-0.208542,0.000268
0.012029,0.004660,-0.209098,0.000269
0.012062,0.004673,-0.209671,0.000270
0.012095,0.004686,-0.210245,0.000270
0.012128,0.004698,-0.210819,0.000271
0.012161,0.004711,-0.211392,0.000272
0.012194,0.004724,-0.211966,0.000273
0.012227,0.004737,-0.212540,0.000273
0.012261,0.004750,-0.213131,0.000274
0.012294,0.004763,-0.213704,0.000275
0.012327,0.004776,-0.214278,0.000276
0.012361,0.004789,-0.214869,0.000276
0.012395,0.004802,-0.215460,0.000277
0.012428,0.004815,-0.216034,0.000278
0.012462,0.004828,-0.216625,0.000279
0.012496,0.004841,-0.217216,0.000279
0.012530,0.004854,-0.217807,0.000280
0.012564,0.004867,-0.218398,0.000281
0.012598,0.004880,-0.218989,0.000282
0.012632,0.004894,-0.219580,0.000282
0.012666,0.004907,-0.220171,0.000283
0.012701,0.004920,-0.220779,0.000284
